Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Affiliation,Category Normalized Citation Impact,Citation Impact,Average Percentile,Journal Normalized Citation Impact,H-Index,Impact Relative to World,Citations From Patents,% Documents in Top 1%,% Documents in Top 10%,% Highly Cited Papers
"Holmes, Edward C.",94.71,208,1,25832,University of Sydney,7.370517788,124.1923077,71.97339663,2,45,15.63823231,245,9.62,34.62,7.69
"Islam, Sheikh Mohammed Shariful",93.85,65,2,24791,University of Sydney,33.07896154,381.4,83.17174615,2.897538462,37,48.02569429,0,40,69.23,32.31
"Tao, Dacheng",86.99,369,3,15473,University of Sydney,5.139136314,41.93224932,71.15236531,1.750460705,59,5.280087538,52,12.47,45.53,4.61
"George, Jacob",68.91,267,4,13179,University of Sydney,4.372782397,49.35955056,53.2233015,1.693932584,46,6.215329537,6,9.74,31.46,8.99
"Woodward, Mark",87.36,269,5,12241,University of Sydney,4.379589963,45.50557621,65.05264349,1.372899628,44,5.730039044,2,5.58,34.57,3.35
"Leigh, James",100,11,6,11170,University of Sydney,53.68363636,1015.454545,99.01425455,3.461818182,11,127.8655206,0,81.82,100,72.73
"Driscoll, Tim Robert",100,11,7,10718,University of Sydney,50.41431818,974.3636364,93.91265455,4.256363636,10,122.6913742,0,54.55,90.91,54.55
"Reddy, Kakarla Raghava",99.2,125,8,9954,University of Sydney,3.2972232,79.632,84.9270288,3.09384,56,10.027221,3,11.2,58.4,12.8
"Kandel, Himal",77.5,80,9,9803,University of Sydney,24.06685875,122.5375,67.38855,3.52725,30,15.42985976,0,32.5,53.75,28.75
"Ferreira, Manuela L.",87.8,82,10,9752,University of Sydney,5.615591463,118.9268293,55.61083415,1.040487805,17,14.97520594,0,4.88,14.63,3.66
"Huda, Tanvir M.",100,22,11,9395,University of Sydney,19.54318182,427.0454545,80.46679091,1.582272727,13,53.77334674,0,18.18,54.55,13.64
"Varvell, K. E.",87.75,449,12,9204,University of Sydney,1.959316704,20.49888641,62.41455947,1.596614699,48,2.581209366,0,4.23,24.5,2.45
"Neal, Bruce",88.11,185,13,9164,University of Sydney,3.500775135,49.53513514,65.07739243,1.535837838,38,6.237439058,2,7.03,35.14,4.86
"Jha, Vivekanand",100,9,14,9160,University of Sydney,45.5396,1017.777778,84.67842222,2.655555556,7,128.1580609,0,44.44,66.67,44.44
"Smith, Emma U. R.",100,6,15,8979,University of Sydney,66.25643333,1496.5,90.3841,3.04,6,188.4385199,0,66.67,83.33,50
"Yabsley, B.",87.53,425,16,8412,University of Sydney,1.807180235,19.79294118,63.02135529,1.554847059,47,2.4923171,0,4,24.71,2.35
"Eslam, Mohammed",83.93,112,17,8160,University of Sydney,7.217430357,72.85714286,69.39175179,2.518035714,34,9.174134425,3,15.18,45.54,16.07
"Scolyer, Richard A.",82,250,18,7812,University of Sydney,2.908886,31.248,61.8544368,1.12692,40,3.934732289,13,8,33.6,6.8
"Suster, C. J. E.",93.18,308,19,7693,University of Sydney,1.93096039,24.97727273,68.08267273,1.76525974,46,3.145125496,0,4.87,27.92,2.92
"Long, Georgina, V",92.68,123,20,7589,University of Sydney,6.649269919,61.69918699,76.41419268,1.55804878,38,7.769130289,17,14.63,53.66,13.01
"Ouyang, Wanli",89.31,131,21,7431,University of Sydney,6.15571145,56.72519084,76.25019618,1.231832061,36,7.14280722,64,14.5,51.15,2.29
"Chen, Yuan",98.47,131,22,7004,University of Sydney,2.248730534,53.46564885,73.74777328,1.136030534,42,6.732367349,3,5.34,34.35,8.4
"Heerspink, Hiddo J. L.",95.61,114,23,6918,University of Sydney,7.283665789,60.68421053,80.25924649,1.466842105,33,7.641324968,8,20.18,55.26,14.91
"Hickie, Ian B.",87.7,244,24,6878,University of Sydney,2.138983197,28.18852459,57.50695656,1.261762295,36,3.5494847,2,5.33,23.36,5.33
"Carlino, Matteo S.",89.76,127,25,6836,University of Sydney,4.881134646,53.82677165,73.21866299,3.621102362,36,6.777839748,17,14.96,46.46,13.39
"Stamatakis, Emmanuel",90.32,155,26,6684,University of Sydney,4.544150968,43.12258065,67.74542194,1.567548387,30,5.429973453,2,7.1,34.84,7.74
"Perkovic, Vlado",90,150,27,6497,University of Sydney,5.289917333,43.31333333,70.336974,2.530733333,40,5.453992935,5,17.33,46.67,8.67
"Hui, Rina",82.61,46,28,6435,University of Sydney,11.63626304,139.8913043,63.82060652,3.937173913,20,17.61504199,4,30.43,50,23.91
"Long, Georgina V.",74.64,138,29,6256,University of Sydney,3.983692029,45.33333333,62.40461087,1.683405797,36,5.708350309,10,15.22,43.48,13.04
"Balaji, S.",89.46,313,30,5927,University of Sydney,1.82234984,18.93610224,63.48442332,1.598913738,40,2.384424376,0,4.15,23.64,2.56
"Wang, J.",93.23,192,31,5872,University of Sydney,2.03695,30.58333333,69.19712969,1.851979167,43,3.8510378,0,5.21,31.25,2.6
"Cross, Marita",83.87,31,32,5629,University of Sydney,17.65347742,181.5806452,62.96329032,2.840322581,15,22.86454261,0,29.03,41.94,25.81
"Colagiuri, Stephen",88.89,36,33,5532,University of Sydney,9.690363889,153.6666667,64.79725278,5.8575,14,19.34962862,3,8.33,27.78,8.33
"Rodgers, Anthony",79.76,84,34,5528,University of Sydney,3.393469048,65.80952381,56.55924643,1.142619048,22,8.286701814,2,2.38,29.76,2.38
"Wu, Jason H.",66.67,6,35,5391,University of Sydney,91.60535,898.5,60.95996667,6.525,3,113.1386637,0,33.33,50,33.33
"Renzaho, Andre M. N.",91.67,36,36,5383,University of Sydney,26.19339722,149.5277778,80.82039444,2.535555556,21,18.82846183,0,50,69.44,36.11
"Li, Yonghui",86.9,252,37,5307,University of Sydney,2.05955873,21.05952381,63.58402262,1.147222222,35,2.651804542,13,4.76,27.38,2.38
"Zomaya, Albert Y.",84.68,222,38,5258,University of Sydney,2.38149009,23.68468468,63.29073739,1.381036036,38,2.982363466,19,4.95,33.33,3.15
"Rooney, Kieron",95.24,21,39,5210,University of Sydney,17.68653333,248.0952381,64.80819524,12.65333333,12,31.24002637,0,33.33,42.86,28.57
"Hansbro, Philip M.",96.57,204,40,5188,University of Sydney,2.106740686,25.43137255,73.75108137,1.748137255,39,3.202305515,6,2.94,33.82,2.45
"Xu, Chang",78.74,127,41,5012,University of Sydney,5.539029921,39.46456693,61.12781575,1.056850394,29,4.969358224,33,9.45,36.22,0.79
"Favaloro, Emmanuel J.",92.31,182,42,4977,University of Sydney,2.766977473,27.34615385,66.94920055,1.495769231,23,3.443413803,0,3.3,25.82,2.2
"Li, Qing",96.18,157,43,4890,University of Sydney,2.666170701,31.14649682,77.43605414,1.645414013,40,3.92195106,2,11.46,46.5,3.82
"Tiedemann, Anne",83.95,81,44,4710,University of Sydney,4.987318519,58.14814815,50.25097901,1.594444444,16,7.321985282,2,3.7,16.05,3.7
"Schutte, Aletta E.",78.01,141,45,4709,University of Sydney,3.017211348,33.39716312,50.7783227,1.726879433,19,4.205353818,1,4.96,20.57,6.38
"Menzies, Alexander M.",84.21,152,46,4708,University of Sydney,2.978607895,30.97368421,65.97721382,1.230986842,36,3.900190584,5,11.18,38.16,9.21
