Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Zheng, Liang",100.0,24,1,2832,6.185166666666667,22,2,118.0,20,21,1,6,13,KBU-2616-2024,25.0,0000-0002-1464-9500
"Petersen, Ian R",92.91,127,2,2360,0.8864385826771655,106,20,18.58267716535433,29,69,1,0,0,F-6017-2011,0.0,0000-0003-4856-9450
"Lipinski, Wojciech",100.0,50,3,2123,2.096838,24,6,42.46,25,27,0,1,3,A-3700-2010,2.0,0000-0001-5478-6887
"Shames, Iman",86.36,44,4,1944,1.8757318181818183,30,12,44.18181818181818,16,25,8,2,4,G-6565-2016,4.55,0000-0001-7308-3546
"Abdin, Zainul",100.0,13,5,1723,6.2778,11,1,132.53846153846155,12,3,0,3,1,GDN-8170-2022,23.08,0000-0003-3403-6362
"Blakers, Andrew",100.0,36,6,1580,2.1375444444444445,27,7,43.888888888888886,19,6,2,1,3,FYW-1179-2022,2.78,0000-0002-0800-2276
"Sheppard, Adrian",100.0,16,7,1476,3.50016875,11,3,92.25,13,10,1,0,6,W-4050-2019,0.0,0000-0001-9792-4143
"Shirazi, Alec",92.86,14,8,1442,3.7765928571428575,12,4,103.0,13,6,0,1,0,FWA-0541-2022,7.14,
"Waller, Steven Travis",89.47,95,9,1385,0.8933463157894738,50,17,14.578947368421053,21,44,3,0,1,N-3009-2017,0.0,0000-0002-2939-2090
"Anwar, Saeed",93.75,16,10,1251,6.4244312500000005,10,7,78.1875,10,9,1,5,1,X-5224-2019,31.25,
"Stocks, Matthew",100.0,24,11,1174,2.6273125,18,4,48.916666666666664,17,3,2,1,2,JSX-8188-2023,4.17,0000-0002-4115-321X
"Yang, Nan",96.55,29,12,1063,1.6414827586206897,27,3,36.6551724137931,15,26,2,2,1,AAK-5322-2020,6.9,0000-0002-9373-5289
"Abhayapala, Thushara D",97.56,41,13,1026,1.1060609756097561,27,4,25.024390243902438,18,21,6,0,24,B-8483-2008,0.0,0000-0001-6937-7218
"Coventry, Joe",92.59,27,14,850,1.5286000000000002,18,2,31.48148148148148,12,16,1,0,0,KQU-1664-2024,0.0,0000-0003-4020-3980
"Rahbari, Alireza",100.0,47,15,839,1.4616468085106384,31,3,17.851063829787233,18,33,1,0,0,GCK-8026-2022,0.0,0000-0001-6363-739X
"Pye, John D",97.14,35,16,838,1.2669885714285714,19,6,23.942857142857143,18,14,1,0,0,A-4765-2010,0.0,0000-0001-8026-0045
