Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Li, Hongyi",99.17,121,1,13593,5.868563636363637,105,54,112.33884297520662,63,52,0,38,10,B-1272-2012,31.4,
"Cai, Jianfei",93.75,32,2,5405,7.456334375000001,29,3,168.90625,15,24,2,2,82,A-3691-2011,6.25,0000-0002-9444-3763
"Ranjith, P. G.",99.17,120,3,5309,1.69243,67,21,44.24166666666667,39,78,1,3,6,JAT-0013-2023,2.5,0000-0003-0094-7141
"Alhelou, Hassan Haes",96.69,181,4,3443,1.4547325966850828,22,2,19.022099447513813,32,176,2,4,1,M-7666-2015,2.21,0000-0002-7427-2848
"Thompson, Mark",95.87,121,5,3130,1.1087561983471075,83,15,25.867768595041323,35,59,0,0,0,O-2085-2019,0.0,0000-0003-3473-2325
"Bhattacharya, Sankar",97.06,68,6,2938,1.8560132352941177,50,15,43.205882352941174,27,30,0,2,2,E-6625-2012,2.94,0000-0002-7590-6814
"Bahrani, Behrooz",100.0,41,7,2791,3.585678048780488,35,5,68.07317073170732,19,19,1,1,26,DTI-9822-2022,2.44,0000-0002-9482-2990
"Zhao, Jian",100.0,38,8,2783,2.865536842105263,24,1,73.23684210526316,28,32,1,0,1,L-5876-2013,0.0,0000-0001-9829-784X
"Zhang, Qianbing",94.59,37,9,2519,3.2064000000000004,28,3,68.08108108108108,26,29,0,1,1,G-2378-2012,2.7,0000-0002-1162-6557
"Shirinzadeh, Bijan",100.0,66,10,2287,1.586177272727273,41,3,34.65151515151515,31,46,0,0,2,GAA-4443-2022,0.0,
"Hoque, Md Murshadul",100.0,14,11,2008,3.8837357142857143,10,2,143.42857142857142,12,12,0,3,9,ABA-8672-2021,21.43,0000-0001-9182-4010
"Arashpour, Mehrdad",98.39,62,12,1875,2.068885483870968,46,14,30.241935483870968,24,46,0,3,0,GXW-0980-2022,4.84,0000-0003-4148-3160
"Wu, Ta Yeong",100.0,24,13,1739,2.2832458333333334,23,12,72.45833333333333,18,4,0,3,0,I-8436-2019,12.5,0000-0001-7541-1574
"Soria, Julio",93.75,80,14,1701,0.8958962500000001,48,3,21.2625,25,59,0,0,2,B-2552-2012,0.0,0000-0002-7089-9686
"Ranjith, Pathegama",95.24,63,15,1670,1.8392746031746032,45,7,26.50793650793651,27,46,0,1,0,AAB-4623-2022,1.59,0000-0003-0094-7141
"Zhang, Lian",100.0,62,16,1664,1.1602645161290324,46,4,26.838709677419356,26,40,2,1,0,AAH-9102-2020,1.61,0000-0002-2761-880X
"Ngoduy, Dong",100.0,50,17,1621,1.704394,31,1,32.42,22,39,0,1,3,M-3405-2019,2.0,0000-0002-0446-5636
"Heidarpour, Amin",96.92,65,18,1601,1.164316923076923,51,10,24.630769230769232,25,41,5,0,0,DWD-8387-2022,0.0,0000-0002-6225-6007
"Kodikara, Jayantha",94.74,76,19,1520,0.9500881578947368,33,22,20.0,22,28,0,0,2,DUV-3591-2022,0.0,0000-0003-1725-7972
"McMeekin, David P.",100.0,3,20,1490,20.8459,2,0,496.6666666666667,3,2,0,2,19,FJN-3349-2022,66.67,
"Sanjid, A.",100.0,15,21,1410,2.258306666666667,15,0,94.0,15,2,0,0,0,DOH-3320-2022,0.0,
"Webley, Paul A",97.14,35,22,1379,2.027,28,10,39.4,23,17,3,1,5,A-3717-2008,2.86,0000-0003-3598-3767
"Bouazza, Abdelmalek",92.31,65,23,1348,0.9989984615384615,14,12,20.73846153846154,25,49,0,0,0,FZS-1606-2022,0.0,0000-0003-1768-1503
"Phu Nguyena, Vinh",100.0,12,24,1329,4.485408333333334,8,2,110.75,12,8,0,2,0,KGW-2982-2024,16.67,0000-0003-1212-8311
"burton, david",95.56,45,25,1326,1.2966111111111112,26,11,29.466666666666665,21,16,0,0,0,AAF-2731-2020,0.0,0000-0002-3727-4174
"Duan, Wenhui",96.55,29,26,1324,1.774196551724138,17,6,45.6551724137931,15,21,0,1,0,B-3711-2008,3.45,0000-0002-8147-7673
"Karmakar, Nemai",94.74,57,27,1317,1.1026280701754387,26,4,23.105263157894736,21,13,0,0,12,DXH-6282-2022,0.0,0000-0002-6395-3840
"Hourigan, Kerry",93.22,59,28,1166,1.0016847457627118,49,6,19.76271186440678,21,21,0,0,0,B-7999-2009,0.0,0000-0002-8995-1851
"Dong, Dehua",96.97,33,29,1134,1.9873242424242423,21,14,34.36363636363637,22,16,0,0,4,IAM-4337-2023,0.0,0000-0002-1225-4142
"MacFarlane, Douglas R",100.0,11,29,1134,2.7773454545454546,9,4,103.0909090909091,11,5,0,1,4,A-9642-2008,9.09,0000-0001-5963-9659
"Razzaghi, Reza",92.45,53,31,1125,1.6118132075471698,34,10,21.22641509433962,21,29,0,0,9,K-9151-2019,0.0,0000-0003-1143-8334
"Chai, Siang-Piao",100.0,17,32,1119,3.525052941176471,13,10,65.82352941176471,15,5,0,1,1,J-1596-2014,5.88,0000-0002-8635-1762
"tang, lei",89.23,65,33,1109,1.522233846153846,31,34,17.06153846153846,16,7,4,2,0,JCO-4117-2023,3.08,0000-0002-1149-0733
"Honnery, Damon R",96.08,51,34,1091,0.8765470588235295,29,1,21.392156862745097,18,23,0,0,0,F-7408-2010,0.0,0000-0003-2925-3602
"Vu, Hai L.",97.92,48,35,1049,1.2592375,37,11,21.854166666666668,17,32,0,1,3,DUL-0667-2022,2.08,0000-0001-6984-2060
"Lo Jacono, David",100.0,28,36,1035,1.5120964285714287,20,2,36.964285714285715,19,26,0,0,0,B-9944-2009,0.0,0000-0002-2064-5397
"Prajogo, Daniel I",94.12,17,37,1027,2.4333,11,0,60.411764705882355,12,13,0,0,0,P-9717-2017,0.0,0000-0002-8178-6249
"Yuce, Mehmet",95.35,43,38,1014,1.0225418604651164,26,12,23.58139534883721,15,8,0,0,9,ABE-6906-2020,0.0,0000-0002-4802-391X
"li, yifang",100.0,42,39,1007,1.4716047619047619,31,21,23.976190476190474,18,12,17,1,0,JVM-8060-2024,2.38,0000-0002-6514-764X;0000-0001-7761-309X
"Harandi, Mehrtash T",84.0,25,40,995,1.9080800000000002,19,9,39.8,12,15,1,1,4,D-6586-2018,4.0,0000-0002-6937-6300
"Tan, Chee Pin",96.3,54,41,984,1.1040074074074073,38,3,18.22222222222222,19,40,0,0,2,E-5851-2012,0.0,0000-0003-0162-3763
