Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Shi, Peng",96.9,420,1,29250,3.0413383333333335,323,7,69.64285714285714,98,395,1,38,20,H-5906-2012,9.05,0000-0001-8218-586X
"Wang, Shaobin",99.19,124,2,10872,4.133827419354839,110,10,87.6774193548387,62,106,0,20,13,C-5507-2008,16.13,0000-0002-1751-9162
"Ghayesh, Mergen H.",98.86,176,3,8417,2.1807892045454547,120,14,47.82386363636363,50,106,0,9,0,EYT-5744-2022,5.11,
"Abbott, Derek",93.46,107,4,5195,2.2196028037383178,55,9,48.55140186915888,38,74,4,4,39,E-8352-2011,3.74,0000-0002-0945-2674
"Duan, Xiaoguang",100.0,81,5,4859,4.27470987654321,77,5,59.98765432098765,38,73,1,12,2,O-2980-2017,14.81,0000-0001-7245-179X
"Lim, Cheng-Chew",98.02,101,6,3803,1.8472128712871287,69,2,37.65346534653465,27,74,0,6,1,G-8344-2016,5.94,0000-0002-2463-9760
"Karami, Behrouz",96.36,55,7,3757,4.026370909090909,45,1,68.30909090909091,35,38,0,8,0,P-8301-2017,14.55,0000-0002-8191-0000
"Li, Lambert LL",100.0,59,8,3743,2.7209220338983053,30,19,63.440677966101696,29,13,2,3,14,F-7146-2015,5.08,0000-0002-5908-6676
"Arjomandi, Maziar",95.65,115,9,3488,1.2937956521739131,72,12,30.330434782608695,34,25,0,1,1,U-4770-2019,0.87,0000-0002-0116-9217
"Reid, Ian",100.0,18,10,3341,8.135805555555557,15,3,185.61111111111111,12,12,0,2,92,GBT-0565-2022,11.11,0000-0001-7790-6423
"van den Hengel, Anton",100.0,44,11,2661,2.862309090909091,43,8,60.47727272727273,24,23,0,2,41,GCZ-6978-2022,4.55,0000-0003-3027-8364
"Nathan, Graham J.",94.89,137,12,2646,0.8654627737226278,101,13,19.313868613138688,30,26,1,0,2,DYC-6317-2022,0.0,0000-0002-6922-848X
"Dally, Bassam B.",98.73,79,13,2136,1.0760860759493671,66,3,27.037974683544302,28,25,0,0,0,DVZ-4976-2022,0.0,0000-0001-9777-0885
"Latif, Yasir",100.0,6,14,2119,14.240316666666667,3,1,353.1666666666667,4,4,0,1,69,DYK-1036-2022,16.67,0000-0002-2529-5322
"Withayachumnankul, Withawat",96.97,33,15,2022,2.6235696969696973,19,3,61.27272727272727,20,22,1,1,15,B-5193-2008,3.03,0000-0003-1155-567X
"Al-Sarawi, Said",96.77,31,16,1957,2.389925806451613,10,3,63.12903225806452,18,21,1,2,28,E-9150-2011,6.45,0000-0002-3242-8197
"Freidoonimehr, Navid",95.0,20,17,1855,3.4858850000000006,8,1,92.75,14,15,0,0,0,I-2308-2014,0.0,0000-0002-2850-7861
"Zhou, Hongyu",100.0,22,18,1820,4.557454545454546,22,2,82.72727272727273,18,16,0,7,0,DSJ-9819-2022,31.82,0000-0003-1117-1422
"Hu, Eric",94.81,77,19,1772,1.000238961038961,49,1,23.01298701298701,24,53,2,0,16,AAM-5052-2021,0.0,0000-0002-7390-0961
"Qiao, Shizhang",100.0,8,20,1717,33.279025,7,0,214.625,7,4,0,3,0,A-6057-2010,37.5,0000-0002-4568-8422
"Medwell, Paul R",93.51,77,21,1626,0.9651025974025974,62,21,21.116883116883116,25,27,2,0,1,I-2576-2013,0.0,0000-0002-2216-3033
"Ahmed, Mohammad Boshir",100.0,10,22,1620,7.21705,10,1,162.0,8,7,0,3,0,A-9265-2015,30.0,0000-0003-4756-595X
"Soebarto, Veronica I",100.0,30,23,1606,2.2714066666666666,25,1,53.53333333333333,22,17,0,1,0,L-9401-2016,3.33,0000-0003-1397-8414
"Zillante, George",100.0,24,24,1593,2.1492750000000003,21,1,66.375,19,23,1,1,0,EIT-6349-2022,4.17,
"Nguyen-Trong, Nghia",96.61,59,25,1561,1.483806779661017,29,20,26.45762711864407,24,27,0,0,4,T-2211-2019,0.0,0000-0002-7776-3394
"Deng, Chaorui",100.0,2,26,1488,58.506150000000005,2,0,744.0,2,2,1,1,17,CLY-8331-2022,50.0,
"Zheng, Yao",100.0,7,27,1459,25.309814285714285,6,2,208.42857142857142,5,3,0,3,0,F-2588-2017,42.86,0000-0002-2411-8041
"hessel, ellen",100.0,50,28,1453,1.7478140000000002,41,1,29.06,22,46,7,1,2,ABB-4007-2021,2.0,0000-0003-3960-7523
"Ng, Ching-Tai",94.2,69,29,1368,1.3386144927536232,51,7,19.82608695652174,22,24,0,0,2,A-9552-2011,0.0,0000-0003-4638-2756
"Dizaji, Hamed Sadighi",100.0,39,30,1342,1.7076589743589745,36,0,34.41025641025641,24,18,0,0,0,ABH-9131-2020,0.0,
"Farajpour, Ali",100.0,16,31,1270,2.9935875000000003,6,7,79.375,15,7,0,1,0,DUF-4471-2022,6.25,0000-0003-1114-7393
"Visintin, Phillip",95.08,61,32,1265,1.1095311475409837,20,8,20.737704918032787,21,13,0,0,0,N-1720-2017,0.0,0000-0002-4544-2043
"Chang, Rui-Dong",100.0,14,33,1227,3.356371428571429,10,0,87.64285714285714,13,13,0,1,1,M-2680-2019,7.14,0000-0003-2223-5292
"Nguyen, Giang D",100.0,39,34,1211,1.4837846153846155,33,21,31.05128205128205,20,13,2,0,2,A-9054-2009,0.0,0000-0003-2348-7563
"Cazzolato, Benjamin S",98.53,68,35,1207,0.8684205882352942,44,13,17.75,22,12,0,0,4,A-8330-2008,0.0,0000-0003-2308-799X
"Silakhori, Mahyar",100.0,19,36,1109,2.042336842105263,11,4,58.36842105263158,16,7,0,1,2,K-8699-2013,5.26,0000-0001-6713-1425
"Sun, Zhiwei",92.68,41,37,1096,1.3125024390243902,30,6,26.73170731707317,17,12,0,1,0,AAT-9096-2020,2.44,0000-0001-7899-9676
"Losic, Dusan",88.24,17,37,1096,3.0448823529411766,13,2,64.47058823529412,14,13,0,1,5,B-2436-2009,5.88,0000-0002-1930-072X
"Jiao, Yan",100.0,5,39,992,8.647960000000001,4,3,198.4,4,1,0,1,0,J-5322-2012,20.0,0000-0003-1329-4290
"Kelso, Richard",91.67,36,40,954,1.0642166666666668,20,5,26.5,17,2,0,0,1,CZQ-6885-2022,0.0,0000-0002-5783-9232
"Jafarian, Mehdi",100.0,30,41,929,1.17804,20,3,30.966666666666665,20,3,0,0,1,DUY-0231-2022,0.0,0000-0001-6892-0901
"Kotousov, Andrei",94.74,57,42,927,0.8501491228070176,37,4,16.263157894736842,18,21,0,0,0,GBW-2411-2022,0.0,0000-0001-9337-5095
"Khaniki, Hossein",100.0,29,43,921,1.8452793103448277,22,4,31.75862068965517,19,14,0,0,0,AAS-9850-2021,0.0,0000-0002-9148-5685
"davey, kenneth",100.0,1,43,921,37.1345,0,0,921.0,1,0,0,1,0,B-7920-2009,100.0,0000-0002-7623-9320
"Ashman, Peter",91.43,35,45,920,0.9862942857142857,27,3,26.285714285714285,19,16,0,0,1,A-6051-2010,0.0,0000-0003-1876-4546
"Guo, Zaiping",100.0,17,46,910,2.3979470588235294,11,0,53.529411764705884,13,14,0,1,1,O-9848-2018,5.88,0000-0003-3464-5301
"Griffith, Michael",100.0,32,47,907,1.0996375,16,7,28.34375,20,17,0,0,1,GCF-8399-2022,0.0,0000-0001-9010-3764
"van Eyk, Philip J.",100.0,39,48,877,1.0236076923076924,27,4,22.487179487179485,19,12,0,0,1,DZE-8041-2022,0.0,0000-0003-3768-2044
"pavel, bedrikovetsky",100.0,25,49,866,1.44822,15,2,34.64,18,15,8,0,0,U-6462-2019,0.0,0000-0002-4786-8275
"Westra, Seth P",100.0,15,50,859,2.2520533333333335,15,5,57.266666666666666,12,3,0,0,0,C-8268-2009,0.0,0000-0003-4023-6061
"Chin, Tat-Jun",95.45,22,51,847,1.898909090909091,21,4,38.5,15,10,0,0,4,EPQ-3269-2022,0.0,
"Tatar, Afshin",96.55,29,51,847,1.280337931034483,9,8,29.20689655172414,17,20,1,0,0,X-8471-2019,0.0,0000-0002-4571-4432
"Howard, C.",100.0,13,53,841,2.3920153846153847,13,5,64.6923076923077,10,1,0,0,1,DTP-7509-2022,0.0,0000-0002-7677-5318
"Zhang, Huayang",100.0,16,54,839,3.374225,15,5,52.4375,14,11,0,3,0,AAF-3983-2020,18.75,
"Ebendorff-Heidepriem, Heike",87.5,32,55,804,1.29111875,17,7,25.125,17,20,0,1,1,D-7773-2015,3.12,0000-0002-4877-7770
"Sultana, Jakeya",85.71,14,56,799,2.664514285714286,3,3,57.07142857142857,12,11,0,0,1,Y-3282-2019,0.0,
"Rafique, Muhammad Mujahid",95.83,24,57,791,0.8217333333333334,9,2,32.958333333333336,11,12,1,1,2,M-3968-2015,4.17,0000-0003-4366-6198
"Liu, Ling-Qiao",100.0,29,58,750,1.3947689655172415,27,5,25.862068965517242,16,19,0,0,6,DED-8990-2022,0.0,0000-0003-3584-795X
"Zecchin, Aaron",96.77,31,58,750,1.0628225806451614,12,6,24.193548387096776,16,6,1,0,6,DYG-7148-2022,0.0,0000-0001-8908-7023
