Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Ngo, Tuan",98.2,111,1,4273,2.1440792792792793,73,32,38.4954954954955,38,45,2,8,2,P-8184-2014,7.21,0000-0002-9831-8580
"Thai, Huu-Tai",98.65,74,2,3527,2.417117567567568,41,23,47.66216216216216,35,34,0,4,1,C-1796-2012,5.41,0000-0002-4461-9548
"Marusic, Ivan",96.61,59,3,2966,1.9639000000000002,36,5,50.271186440677965,30,32,0,0,6,N-8456-2019,0.0,0000-0003-2700-8435
"Mendis, P.",100.0,86,4,2787,1.4027116279069767,39,27,32.406976744186046,29,24,0,2,2,DXV-9077-2022,2.33,0000-0003-4068-8201
"Nesic, Dragan",98.28,58,5,2784,2.0898655172413796,53,9,48.0,26,41,3,1,1,O-2609-2013,1.72,0000-0001-7944-0241
"Hutchins, Nicholas",98.67,75,6,2724,1.6873573333333334,47,4,36.32,30,39,3,0,6,DXI-0494-2022,0.0,0000-0003-1599-002X
"Ochoa, Luis",93.88,49,7,2619,2.3853204081632655,31,4,53.44897959183673,27,36,1,2,6,F-9219-2010,4.08,0000-0002-7853-4286
"Perera, Mandadige M.S.A.",100.0,61,8,2471,1.463977049180328,37,20,40.50819672131148,30,27,0,2,5,O-3640-2018,3.28,0000-0002-6784-0544
"sarvi, majid",97.18,71,9,2014,1.3021591549295775,32,17,28.366197183098592,27,22,0,1,0,A-2397-2009,1.41,
"Disfani, M",92.0,50,10,1991,1.8679680000000003,12,17,39.82,24,24,0,0,1,F-8713-2015,0.0,0000-0002-9231-8598
"Cassidy, Mark J",94.79,96,11,1953,0.8556479166666667,39,16,20.34375,25,37,9,0,1,B-4867-2013,0.0,0000-0001-6323-2595
"Alam, Mohammad Ashraful",100.0,16,12,1933,2.3161062500000003,16,0,120.8125,15,2,0,2,1,AAQ-5957-2020,12.5,
"AKHTAR, NAVEED",86.96,23,13,1803,4.527169565217392,16,4,78.3913043478261,12,11,0,2,20,AAT-1283-2020,8.7,0000-0003-3406-673X
"P. Monty, J.",100.0,48,13,1803,1.5902562500000001,31,5,37.5625,22,22,0,0,0,DWI-0928-2022,0.0,0000-0003-4433-2640
"Rismanchi, Behzad",95.24,42,15,1573,1.3252380952380953,32,9,37.45238095238095,20,9,0,1,0,B-5266-2010,2.38,0000-0001-8805-1627
"Zhang, Lihai",95.92,98,16,1544,1.3096091836734693,66,25,15.755102040816327,23,62,0,3,0,F-6823-2014,3.06,0000-0002-1282-992X
"Sandberg, Richard",96.25,80,17,1471,1.08966125,31,4,18.3875,21,48,18,0,0,E-5485-2016,0.0,0000-0001-5199-3944
"Stevens, Geoffrey W.",100.0,38,18,1456,1.2286052631578948,29,10,38.31578947368421,21,9,0,1,5,DZY-2572-2022,2.63,0000-0002-5788-4682
"Fletcher, Tim",100.0,17,19,1405,3.7100705882352942,15,4,82.6470588235294,14,8,0,0,0,AAB-8356-2019,0.0,0000-0001-8819-5567
"Manzie, Chris",92.0,75,20,1402,0.8267186666666667,51,20,18.69333333333333,21,26,5,0,1,DWV-7223-2022,0.0,0000-0002-9969-0982
"Ooi, Andrew",94.92,59,21,1400,1.199249152542373,32,14,23.728813559322035,19,26,2,1,1,DYP-7362-2022,1.69,0000-0003-1126-7838
"Aye, Lu",98.08,52,22,1336,1.295471153846154,37,11,25.692307692307693,25,7,0,0,1,J-8733-2013,0.0,0000-0002-5495-1683
"Crawford, Robert",93.1,29,23,1332,2.0194206896551723,25,3,45.93103448275862,19,11,0,1,1,C-4547-2016,3.45,0000-0002-0189-3221
"Candido, Christhina",94.74,19,24,1303,2.3760526315789474,14,9,68.57894736842105,13,6,0,0,2,AAO-9764-2021,0.0,0000-0002-1966-657X
"Halgamuge, Saman",100.0,24,25,1251,2.00815,21,11,52.125,18,9,2,2,1,A-8154-2008,8.33,0000-0002-2536-4930
"Chung, Daniel",100.0,41,26,1243,1.6121902439024391,38,0,30.317073170731707,21,28,2,0,0,F-4468-2016,0.0,0000-0003-3732-364X
"Stephan, André",95.24,21,27,1208,2.189152380952381,18,2,57.523809523809526,15,15,0,1,1,F-9879-2015,4.76,0000-0001-9538-3830
"Shah, Khaleduzzaman",95.65,23,28,1196,1.8172521739130436,16,0,52.0,15,13,0,0,0,N-2043-2017,0.0,0000-0001-8806-2529
"Tan, Ying",93.22,59,29,1195,1.0343440677966103,43,4,20.25423728813559,20,42,0,0,2,HTF-3683-2023,0.0,0000-0001-8495-0246
"Leckie, Chris",100.0,22,29,1195,2.356059090909091,20,5,54.31818181818182,13,10,2,1,7,DVU-9300-2022,4.55,0000-0002-4388-0517
"Brear, Michael",96.77,62,31,1179,1.046409677419355,52,8,19.016129032258064,20,23,10,0,1,DVG-7075-2022,0.0,0000-0002-1646-2926
