Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Green, Martin A",98.04,51,1,20197,22.662164705882354,48,6,396.01960784313724,34,30,2,19,35,H-7567-2012,37.25,0000-0002-8860-396X
"Mat, Santamouris",94.57,129,2,9270,2.7273635658914728,91,26,71.86046511627907,48,78,1,8,12,AAP-2836-2021,6.2,0000-0001-6076-3526
"Ho-Baillie, Anita",95.45,22,3,8414,16.984431818181818,19,5,382.45454545454544,18,12,1,7,10,R-4801-2018,31.82,0000-0001-9849-4755
"Hao, Xiaojing",96.0,25,4,5489,19.196824000000003,23,4,219.56,17,16,1,11,4,CSN-5694-2022,44.0,0000-0001-5214-9518
"Taylor, Robert A",98.33,120,5,5406,1.884544166666667,90,27,45.05,43,67,3,3,6,J-5774-2012,2.5,0000-0002-1723-3172
"Konstantinou, Georgios",97.39,115,6,4354,1.9192252173913045,78,7,37.86086956521739,37,85,3,3,15,H-7113-2014,2.61,0000-0002-4313-1647
"uy, brian",97.74,133,7,4329,1.4387187969924813,78,66,32.54887218045113,38,45,1,2,0,F-2965-2013,1.5,0000-0002-4577-2915
"Pota, Hemanshu",98.29,117,8,4139,1.585646153846154,66,30,35.376068376068375,38,59,0,3,5,GDI-7861-2022,2.56,0000-0002-9612-714X
"Meng, Ke",98.8,83,9,3904,1.981310843373494,49,8,47.036144578313255,36,68,14,3,11,IZG-2789-2023,3.61,0000-0002-6150-9228
"Kundu, Dipan",85.71,7,10,3864,36.54192857142857,6,1,552.0,4,1,0,3,11,I-9189-2017,42.86,0000-0001-5244-9836
"Hredzak, Branislav",96.67,60,11,3579,2.617875,53,1,59.65,31,30,3,2,4,GEX-3232-2022,3.33,0000-0002-4863-3419
"Liu, Ang",96.55,29,12,3515,6.729058620689655,15,1,121.20689655172414,15,24,1,4,12,KFE-9693-2024,13.79,0000-0001-9353-0948
"Bradford, MA",95.69,116,13,2997,1.0915405172413792,66,14,25.836206896551722,31,52,0,0,0,DTV-4690-2022,0.0,0000-0003-4034-7562
"Hawkes, Evatt R",95.83,96,14,2930,1.3219104166666666,81,10,30.520833333333332,32,63,3,0,2,C-5307-2012,0.0,0000-0003-0539-7951
"Chan, Ka Wing",98.48,66,15,2905,2.116224242424243,52,32,44.015151515151516,29,29,4,2,10,ITU-9978-2023,3.03,0000-0001-7462-0753
"Savkin, Andrey V.",99.02,102,16,2889,1.5996058823529413,63,23,28.323529411764707,30,47,0,0,7,DWK-5837-2022,0.0,0000-0001-9390-6634
"Mostaghimi, Peyman",95.92,49,17,2621,2.453883673469388,38,8,53.48979591836735,23,21,1,1,4,U-9973-2019,2.04,0000-0002-2071-6247
"Song, Chongmin",96.34,82,18,2524,1.3639841463414635,63,13,30.78048780487805,32,47,0,0,0,G-9179-2011,0.0,0000-0001-7282-017X
"Smith, Wade",96.88,32,19,2473,2.517846875,31,2,77.28125,21,9,3,1,4,AAT-9704-2021,3.12,0000-0002-6234-8104
"Randall, Robert B.",100.0,28,20,2466,3.3038678571428575,25,3,88.07142857142857,20,14,2,2,13,JCJ-7948-2023,7.14,0000-0003-4042-1566
"Li, Wengui",100.0,46,21,2436,2.5085326086956523,23,7,52.95652173913044,26,39,0,3,4,JUF-2626-2023,6.52,0000-0002-4651-1215
"Yeoh, Guan H.",92.63,95,22,2369,1.294762105263158,43,45,24.936842105263157,27,43,0,3,2,DXS-2384-2022,3.16,0000-0003-3483-3759
"Peng, Z.",95.95,74,23,2305,1.6561162162162162,57,5,31.14864864864865,28,46,2,2,4,DMH-6457-2022,2.7,0000-0002-3059-5813
"Kong, Weicong",100.0,18,24,2302,6.403194444444445,16,1,127.88888888888889,15,14,1,2,4,Y-5291-2019,11.11,0000-0002-1229-3790
"Sahajwalla, Veena",98.61,72,25,2291,1.5581847222222223,67,6,31.819444444444443,27,16,1,0,0,DZT-5627-2022,0.0,0000-0001-9528-9967
"Ni, Bing-Jie",97.78,90,26,2250,2.364685555555556,87,7,25.0,27,74,1,1,0,ABB-5631-2021,1.11,0000-0002-1129-7837
"sadeghinezhad, emad",100.0,25,27,2151,2.821276,22,2,86.04,23,18,0,1,4,I-5491-2019,4.0,0000-0002-1833-9243
"Ng, Derrick Wing Kwan",92.59,54,28,2144,3.1856092592592598,51,0,39.7037037037037,26,51,4,3,3,Q-6536-2018,5.56,0000-0001-6400-712X
