Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"zhang, jingxing",93.55,589,1,12280,1.1714950764006793,268,263,20.848896434634973,50,112,31,9,24,KCY-4726-2024,1.53,0000-0002-3294-5784
"Abbosh, Amin",99.48,191,2,5608,1.3631277486910993,84,19,29.361256544502616,40,42,6,0,19,C-3944-2009,0.0,0000-0002-8015-5883
"Liu, XiaoYan",96.28,215,3,4903,1.2442381395348838,120,79,22.804651162790698,38,49,11,5,15,GQA-7216-2022,2.33,0000-0002-4147-4515
"Nadarajah, Mithulananthan",98.77,81,4,4840,2.011204938271605,48,19,59.75308641975309,33,46,2,3,8,C-8032-2009,3.7,0000-0003-4314-5333
"Saha, Tapan Kumar",99.16,119,5,4779,1.7693159663865548,61,15,40.15966386554622,37,35,5,4,17,A-8623-2011,3.36,0000-0002-5779-9090
"Tushar, Wayes",100.0,48,6,3456,3.83485,41,1,72.0,26,43,6,8,2,O-6526-2015,16.67,0000-0003-1055-7200
"Kitipornchai, Sritawat",100.0,38,7,3087,3.376086842105263,24,11,81.23684210526316,25,26,0,5,0,AAA-2523-2019,13.16,0000-0003-1782-3380
"Fumeaux, Christophe",92.21,77,8,2806,1.6637038961038961,39,23,36.44155844155844,31,28,2,0,21,IYS-4032-2023,0.0,0000-0001-6831-7213
"Ho, J CM",97.83,46,9,2746,3.8060869565217392,25,12,59.69565217391305,31,28,0,6,1,HHS-0847-2022,13.04,0000-0002-2755-907X
"Zheng, Zuduo",97.87,47,10,2410,2.8408319148936174,42,15,51.276595744680854,24,24,1,2,0,F-1863-2018,4.26,0000-0002-5289-2106
"Wang, Lianzhou",97.22,36,11,2315,2.8510833333333334,25,2,64.30555555555556,25,22,6,4,4,J-2140-2014,11.11,0000-0003-0849-6234
"Muraza, Oki",97.44,39,12,2242,1.2476076923076924,22,2,57.48717948717949,26,23,0,2,5,B-6765-2015,5.13,0000-0002-8348-8085
"Gurgenci, Hal",92.42,66,13,2063,1.3736257575757576,56,2,31.257575757575758,32,31,2,0,2,GBM-7440-2022,0.0,0000-0002-8340-0485
"Zare, Firuz",97.47,79,14,1924,1.2257088607594937,45,16,24.354430379746834,22,54,3,1,10,H-3385-2017,1.27,0000-0002-6051-6258
"Huang, Han",96.15,52,15,1768,1.8697961538461538,28,3,34.0,24,38,10,4,1,A-6025-2011,7.69,0000-0003-3353-2970
"Chanson, Hubert",88.89,108,16,1706,0.8772296296296297,38,14,15.796296296296296,23,35,1,0,0,A-1194-2008,0.0,0000-0002-4994-7567
"Huang, Xumin",100.0,18,17,1667,4.513400000000001,18,4,92.61111111111111,14,14,0,1,20,DVZ-3489-2022,5.56,0000-0003-1819-5398
"Dargusch, Matthew",100.0,41,18,1600,1.8557024390243906,20,17,39.02439024390244,24,20,16,1,0,C-6763-2009,2.44,0000-0003-4336-5811
"Chapman, Archie",100.0,34,19,1552,2.5008617647058826,28,8,45.64705882352941,19,11,0,2,2,AAD-7055-2020,5.88,0000-0002-5055-3004
"Saha, Tapan K.",94.59,74,20,1548,1.4807716216216216,45,12,20.91891891891892,21,34,1,1,0,GBG-0142-2022,1.35,0000-0003-0763-0032
"Huang, Zi",100.0,26,21,1444,3.189696153846154,25,1,55.53846153846154,17,24,2,3,5,JQG-9278-2023,11.54,0000-0002-9738-4949
"Masum, Billah M.",100.0,11,22,1421,1.7695818181818184,8,0,129.1818181818182,9,0,0,0,0,GBL-1921-2022,0.0,0000-0002-0847-7394
"Park, Jinhee",100.0,1,23,1397,13.0579,1,0,1397.0,1,1,0,1,0,DLC-5458-2022,100.0,
"Mobashsher, Ahmed Toaha",96.77,31,24,1230,1.7951580645161291,13,3,39.67741935483871,19,9,0,0,3,H-6341-2019,0.0,0000-0002-6351-8136
"Ekanayake, Chandima",96.77,31,25,1212,1.3187548387096775,5,5,39.096774193548384,16,3,1,1,2,J-4006-2012,3.23,0000-0002-4511-535X
"Hu, Feng",96.55,29,26,1144,3.0367448275862072,24,16,39.44827586206897,19,8,0,3,4,IAN-4009-2023,10.34,0000-0002-3253-5080
"Veeraragavan, Ananthanarayanan",94.87,39,27,1117,1.4265538461538463,31,1,28.641025641025642,22,9,0,0,1,I-6988-2012,0.0,0000-0001-6810-2204
"RAZA, Muhammad Q",100.0,7,28,1072,2.393685714285714,6,1,153.14285714285714,6,3,1,2,62,AAD-6941-2019,28.57,
"Zinatizadeh, Ali Akbar",93.62,47,29,1049,1.2228468085106383,32,8,22.319148936170212,19,33,0,0,0,Y-9474-2019,0.0,0000-0002-0442-0841
"Zhang, Xiwang",100.0,30,30,1031,2.06216,25,5,34.36666666666667,17,19,2,1,1,JOZ-5275-2023,3.33,0000-0002-4319-527X
"chen, Zhongwei",96.43,28,31,1015,1.6454642857142858,18,1,36.25,17,22,1,1,0,J-7144-2013,3.57,0000-0002-0782-0648
"Yildirimoglu, Mehmet",95.83,24,32,976,2.1364375,20,4,40.666666666666664,14,8,1,0,0,F-7317-2017,0.0,0000-0002-6534-4053
"Yun, Jung-Ho",100.0,12,33,971,3.8664,7,1,80.91666666666667,11,10,6,1,0,AAS-9134-2020,8.33,0000-0002-1415-2297
"Boashash, Boualem",96.55,29,34,966,1.104693103448276,8,0,33.310344827586206,19,27,0,0,0,A-9687-2010,0.0,0000-0002-2404-9103
"Bialkowski, Konstanty",97.56,41,35,941,1.0874707317073171,18,3,22.951219512195124,18,6,0,0,5,DWZ-2547-2022,0.0,0000-0002-3461-0371
"Kaneti, Yusuf Valentino",100.0,13,36,888,6.318676923076923,13,1,68.3076923076923,10,12,0,4,0,G-8108-2015,30.77,0000-0003-2433-7305
"Mohammed, Beadaa",100.0,27,37,866,1.6447740740740742,11,6,32.074074074074076,13,5,0,0,2,DSC-3078-2022,0.0,0000-0002-3333-1581
"YE, Nan",85.71,42,38,847,1.0762690476190475,20,12,20.166666666666668,13,8,1,1,1,JEO-5628-2023,2.38,0000-0003-3007-8290
"Shapter, Joe",100.0,15,39,843,2.981133333333333,10,5,56.2,9,9,0,2,1,I-1894-2018,13.33,0000-0002-4000-2751
"Zou, Jin",100.0,15,40,776,2.6688533333333333,13,3,51.733333333333334,11,11,0,1,1,B-3183-2009,6.67,0000-0001-9038-8974
"Peng, Hong",100.0,8,41,772,4.3637125,8,0,96.5,8,3,0,0,0,ABE-3653-2021,0.0,0000-0003-1733-0738
"Gattas, Joseph",92.59,27,42,766,1.1890851851851851,19,1,28.37037037037037,15,17,0,0,3,AAE-1452-2019,0.0,0000-0002-0878-583X
"Bhandari, Bhesh",96.97,33,43,758,0.9772909090909091,9,3,22.96969696969697,17,29,0,0,2,B-7043-2012,0.0,0000-0002-1297-3948
"Yin, Hongzhi",100.0,28,44,750,2.4095107142857146,26,3,26.785714285714285,11,25,1,1,3,AAP-2078-2020,3.57,0000-0003-1395-261X
"Rezaeieh, Sasan Ahdi",100.0,34,45,747,0.9249735294117647,18,2,21.970588235294116,18,9,0,0,8,HTM-4377-2023,0.0,0000-0002-7416-4775
"Wang, Geoff",100.0,35,46,743,1.0722714285714285,20,0,21.228571428571428,14,34,1,0,0,DUR-7243-2022,0.0,0000-0001-5284-7738
"Liu, Weidi",94.74,19,47,717,3.1014947368421053,15,2,37.73684210526316,12,17,0,1,0,W-7502-2018,5.26,0000-0001-7158-1234
