Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Tao, Dacheng",95.45,286,1,21415,5.142025524475525,276,17,74.87762237762237,71,248,25,26,94,A-5449-2012,9.09,
"Zhu, Jianguo",96.46,198,2,7309,2.2319454545454547,147,27,36.91414141414141,51,149,6,10,13,AAG-7918-2019,5.05,0000-0002-9763-4047
"Luo, Fengji",94.25,87,3,5235,2.6081747126436783,54,13,60.172413793103445,38,71,5,6,10,IZJ-4315-2023,6.9,
"de Dear, Richard",97.59,83,4,4289,2.2632493975903616,77,13,51.674698795180724,37,48,1,3,2,AAP-8963-2020,3.61,0000-0002-3414-290X
"Fahimnia, Behnam",97.37,38,5,4134,3.6128157894736845,29,2,108.78947368421052,28,34,0,6,0,JAX-2065-2023,15.79,0000-0002-8974-9928
"Xiao, Weidong",98.75,80,6,3793,1.9573050000000003,58,7,47.4125,33,53,2,0,9,F-2898-2013,0.0,0000-0003-2515-5108
"Ouyang, Wanli",93.65,63,7,3327,3.49582380952381,60,3,52.80952380952381,25,50,10,4,21,I-7135-2018,6.35,0000-0002-9163-2761
"Kakarla, Raghava Reddy",100.0,33,8,3056,5.659090909090909,20,1,92.60606060606061,25,30,0,7,0,AAZ-9856-2021,21.21,0000-0002-9707-7930
"Feng, David Dagan",96.61,59,9,2388,1.8706254237288136,44,0,40.47457627118644,24,58,2,2,13,FZW-9256-2022,3.39,0000-0002-3381-214X
"Zhao, Shenlong",100.0,4,10,2314,26.963925000000003,3,1,578.5,4,3,0,2,6,AAT-2838-2021,50.0,0000-0002-0945-4127
"Kwok, Kenny c s",100.0,74,11,2293,1.3655472972972973,59,14,30.986486486486488,29,58,0,0,1,C-8667-2019,0.0,0000-0002-0153-9978
"Masri, Assaad",89.83,118,12,2272,0.8829542372881357,88,15,19.25423728813559,28,70,1,0,0,D-2467-2019,0.0,0000-0002-0645-5546
"Rasmussen, Kim J R",92.37,118,13,2232,0.9881491525423729,74,6,18.915254237288135,26,50,0,0,0,F-7258-2013,0.0,0000-0002-8649-9257
"Gao, Junbin",93.75,64,14,2159,2.3862015625,45,7,33.734375,24,53,1,5,12,C-6566-2008,7.81,0000-0001-9803-0256
"Li, Yonghui",98.33,60,15,2019,2.2211149999999997,52,3,33.65,22,54,9,2,4,S-5593-2016,3.33,
"Abbas, Ali",100.0,58,16,1955,1.3127362068965518,49,15,33.706896551724135,27,27,0,1,3,JVW-7277-2024,1.72,0000-0002-8768-9722
"Qiu, Jing",98.53,68,17,1938,2.254316176470588,61,16,28.5,24,43,4,2,3,DTC-6570-2022,2.94,0000-0003-4202-7802
"Xu, Chang",97.14,35,18,1792,2.6093828571428572,34,3,51.2,17,27,5,3,5,AAG-9337-2019,8.57,0000-0002-4756-0609
"Lenzen, Manfred",100.0,33,19,1705,2.933321212121212,32,7,51.666666666666664,21,19,1,2,0,D-3161-2013,6.06,0000-0002-0828-5288
"Zomaya, Albert Y.",92.16,51,20,1696,2.074172549019608,43,1,33.254901960784316,23,50,4,2,1,G-9697-2017,3.92,0000-0001-8560-6199
"Verbic, Gregor",100.0,48,21,1678,1.7886916666666668,37,9,34.958333333333336,22,20,1,1,3,AAR-1827-2021,2.08,0000-0003-4949-768X
"Zhang, Cuo",97.73,44,22,1644,2.4554113636363635,39,1,37.36363636363637,19,39,3,1,6,AAA-7325-2019,2.27,0000-0001-9048-339X
"Deb, Chirag",100.0,20,23,1611,2.8932150000000005,20,1,80.55,17,11,0,1,2,AAA-9486-2021,5.0,0000-0001-9634-6441
"Ramezani, Mohsen",100.0,30,24,1552,2.549873333333333,24,9,51.733333333333334,18,11,0,1,4,IVH-7908-2023,3.33,0000-0001-6839-6839
"Shi, Guodong",95.65,46,25,1531,1.5308695652173914,42,2,33.28260869565217,19,43,0,0,1,KPU-5932-2024,0.0,0000-0003-1130-239X
"Jamalipour, Abbas",88.51,87,26,1525,1.3694011494252873,69,14,17.528735632183906,23,45,0,0,2,IVH-1593-2023,0.0,
"Ranzi, Gianluca",96.72,61,27,1498,1.081872131147541,32,12,24.557377049180328,24,40,0,0,2,B-3950-2013,0.0,0000-0003-4603-8349
"Zhang, Hao",98.65,74,28,1414,0.9382,44,2,19.10810810810811,22,45,0,0,0,AAK-3346-2020,0.0,0000-0003-3430-139X
"Kim, Jungsoo",96.67,30,29,1377,2.1481033333333333,29,6,45.9,18,17,0,0,0,GQB-1511-2022,0.0,0000-0003-4012-1600
"Davarzani, Hoda",100.0,2,30,1334,6.23985,2,0,667.0,2,2,0,2,0,EQP-3015-2022,100.0,
"Huang, Jun",91.18,34,31,1267,1.913823529411765,18,5,37.26470588235294,22,24,0,1,2,D-6959-2013,2.94,0000-0001-8704-605X
"Parkinson, Thomas",91.67,24,32,1253,2.6832375,22,0,52.208333333333336,19,17,2,1,0,DXK-8586-2022,4.17,0000-0002-0088-8754
"Arandiyan, Hamid",100.0,12,33,1238,3.1008,9,4,103.16666666666667,11,8,0,3,1,O-3219-2019,25.0,0000-0001-5633-3945
"Gan, Yixiang",94.64,56,34,1224,1.1602232142857143,35,4,21.857142857142858,22,43,0,0,0,B-1551-2008,0.0,0000-0002-9621-0277
"Tran, Nguyen H.",96.88,32,35,1164,2.082765625,25,3,36.375,20,28,0,0,4,ABC-5127-2020,0.0,0000-0001-7323-9213
