Name,% Docs Cited,Web of Science Documents,Rank,Times Cited,Category Normalized Citation Impact,Documents in Q1 Journals,Domestic Collaborations,Citation Impact,H-Index,International Collaborations,Industry Collaborations,Highly Cited Papers,Citations From Patents,Web of Science ResearcherID,% Highly Cited Papers,ORCID
"Wong, KP",100.0,84,1,5581,2.6337678571428573,52,14,66.44047619047619,40,64,11,5,16,GIS-3644-2022,5.95,
"Bolan, Nanthi Sirangie",100.0,56,2,5008,3.9445303571428574,54,4,89.42857142857143,35,52,0,12,3,E-8535-2011,21.43,0000-0003-2056-1692
"Bennamoun, Mohammed",95.29,85,3,4921,4.152963529411765,55,23,57.89411764705882,29,46,5,8,30,C-2789-2013,9.41,0000-0002-6603-3257
"Iu, Herbert Ho-Ching",96.88,192,4,4733,1.3150291666666667,104,12,24.651041666666668,42,163,9,2,11,H-5111-2014,1.04,
"Sun, Hongqi",98.33,60,5,4244,3.1211016666666667,51,10,70.73333333333333,32,43,0,7,7,B-3128-2014,11.67,
"Zhang, Dongke",96.84,95,6,2803,1.3017652631578949,73,2,29.50526315789474,31,64,2,1,3,JEJ-0559-2023,1.05,0000-0003-0715-7986
"Fernando, Tyrone",95.97,124,7,2643,1.1049201612903226,79,17,21.31451612903226,30,91,6,0,7,CQQ-8723-2022,0.0,0000-0003-0140-8887
"Mian, Ahsan",98.08,52,8,2639,2.4987096153846156,30,11,50.75,26,29,1,1,22,L-9115-2019,1.92,0000-0002-2033-6738
"Elchalakani, Mohamed",93.62,141,9,2473,1.3128297872340426,83,14,17.53900709219858,29,114,0,1,0,AAG-7562-2020,0.71,0000-0002-9018-0572
"Aslani, Farhad",94.12,85,10,2419,1.4656423529411766,36,43,28.458823529411763,29,27,0,1,1,AAE-5727-2020,1.18,0000-0002-7640-711X
"Liu, Jishan",100.0,57,11,2276,1.7867087719298245,41,3,39.92982456140351,27,53,1,1,1,H-5309-2014,1.75,0000-0002-2744-0319
"Liu, Jun",86.21,29,12,2091,6.202772413793104,27,3,72.10344827586206,17,24,8,4,5,GEO-8229-2022,13.79,0000-0002-4365-4165
"Sreeram, Victor",91.07,56,13,2039,1.353517857142857,30,6,36.410714285714285,17,46,0,3,0,C-3233-2013,5.36,0000-0001-6762-1504
"Cheng, Liang",95.74,94,14,2020,1.0047468085106384,70,11,21.48936170212766,27,73,7,0,0,GZJ-7986-2022,0.0,
"sun, he",90.91,132,15,1967,1.2485560606060606,37,82,14.901515151515152,23,16,3,1,6,IYJ-6174-2023,0.76,0000-0002-2765-6582
"May, Eric F.",95.4,87,16,1837,1.2375471264367817,63,19,21.114942528735632,25,42,22,0,2,FZD-0278-2022,0.0,0000-0001-5472-6921
"Zhang, Xinan",97.44,39,17,1643,2.0681051282051284,35,5,42.12820512820513,23,30,4,0,6,AAA-1855-2019,0.0,0000-0002-9472-8785
"Zhu, Mingming",98.44,64,18,1480,1.1117625,43,1,23.125,24,41,0,0,0,H-6162-2014,0.0,0000-0002-3643-1799
"Townsend, Christopher David",97.92,48,19,1458,1.6534187500000002,46,2,30.375,19,41,5,0,8,I-9128-2019,0.0,0000-0002-6807-3623
"Fourie, Andy B",82.81,64,20,1417,1.2174390625,25,17,22.140625,18,28,3,2,1,H-9214-2014,3.12,0000-0001-7250-2104
"Gaudin, Christophe",91.67,72,21,1412,0.8896569444444444,27,11,19.61111111111111,24,27,2,0,1,F-4576-2012,0.0,0000-0002-6326-4551
"Zhang, Xinan",93.65,63,22,1411,1.6277650793650795,49,2,22.396825396825395,20,54,3,1,1,B-2872-2017,1.59,0000-0002-9472-8785
"Taylor, Paul H.",94.29,70,23,1394,1.0027614285714286,53,12,19.914285714285715,23,53,3,0,1,EAN-4426-2022,0.0,
"O'Loughlin, Conleth D",91.18,68,24,1390,0.9261661764705883,28,7,20.441176470588236,24,33,2,0,0,E-1880-2013,0.0,0000-0002-5823-6265
"Johns, Michael L.",98.21,56,25,1287,1.3582874999999999,33,12,22.982142857142858,22,23,12,0,7,GFC-2254-2022,0.0,0000-0001-7953-0597
"Zhang, Zhezi",100.0,56,26,1257,1.0983535714285715,38,1,22.446428571428573,22,37,0,0,0,EHS-8908-2022,0.0,0000-0002-1429-8720
"Hossain, Muhammad Shazzad",93.85,65,27,1178,0.8682738461538462,32,4,18.123076923076923,20,33,9,0,0,HQW-5005-2023,0.0,0000-0002-2636-4916
"Draper, Scott",100.0,55,28,1170,0.9691145454545456,36,4,21.272727272727273,20,41,5,0,0,DWD-8743-2022,0.0,0000-0002-4185-0111
"Armstrong, Jean",100.0,11,29,1090,3.7096454545454547,11,1,99.0909090909091,10,1,0,0,6,G-3027-2010,0.0,0000-0002-8002-0225
"Karrech, Ali",90.2,51,30,1073,1.0982843137254903,28,10,21.03921568627451,22,26,0,0,0,H-5168-2014,0.0,0000-0001-7013-319X
"Lehane, Barry",91.49,47,31,1004,1.2414170212765958,23,3,21.361702127659573,17,30,4,1,0,ABF-5393-2020,2.13,0000-0003-0244-7423
"Zhao, Wenhua",100.0,48,32,1000,1.124025,33,3,20.833333333333332,19,41,6,0,1,H-6157-2014,0.0,0000-0002-8061-2001
"Boussaid, Farid",92.86,28,33,989,2.5510357142857143,19,6,35.32142857142857,16,13,1,2,1,FZH-2622-2022,7.14,0000-0001-7250-7407
"Bienen, Britta",95.92,49,34,987,0.9708163265306122,23,6,20.142857142857142,20,26,0,0,1,H-8834-2014,0.0,0000-0002-0342-0698
"Aman, Zachary M",95.45,44,35,929,1.1696454545454547,24,9,21.113636363636363,18,21,9,0,2,E-4433-2010,0.0,0000-0003-4496-3303
"Stanier, Sam A.",100.0,24,36,927,1.5774333333333335,6,0,38.625,15,11,0,1,0,GFP-8826-2022,4.17,0000-0001-5671-2902
"Tafti, Hossein Dehghani",97.5,40,37,922,1.5996675,31,2,23.05,17,36,1,0,4,R-9046-2016,0.0,0000-0001-8971-0380
"Chen, L. F.",100.0,29,38,914,1.5679620689655172,17,4,31.517241379310345,17,23,1,0,0,HDK-8071-2022,0.0,0000-0003-4987-0077
"Hu, Xiaozhi",92.0,25,39,847,1.91744,19,0,33.88,13,25,0,0,2,H-4353-2011,0.0,0000-0003-1590-2501
"An, Hongwei",95.35,43,40,843,0.9853139534883723,35,5,19.6046511627907,16,35,3,0,0,DUU-4826-2022,0.0,0000-0002-9082-1405
"Zhou, Tongming",100.0,47,41,825,1.0686276595744681,33,3,17.5531914893617,18,41,5,0,0,HWI-1644-2023,0.0,0000-0002-5295-635X
"Okoye, Chiemeka Onyeka",100.0,19,42,783,1.5639315789473685,19,5,41.21052631578947,14,7,0,0,0,GCG-5667-2022,0.0,0000-0002-9568-9028
"Kim, Youngho",95.12,41,43,682,0.8886195121951219,19,4,16.634146341463413,15,25,8,0,0,IXE-8370-2023,0.0,0000-0001-5871-8435
"Hu, Yuxia",88.37,43,44,630,0.714793023255814,25,5,14.651162790697674,16,28,7,0,0,KGJ-5383-2024,0.0,0000-0002-7798-3266
"Datta, Amitava",97.22,36,45,585,0.980586111111111,15,9,16.25,14,13,0,0,0,A-3244-2008,0.0,0000-0001-6916-7907
"Togneri, Roberto",91.67,24,46,562,1.1853375,9,8,23.416666666666668,14,11,0,0,4,C-2466-2013,0.0,0000-0002-3778-4633
"Mian, Ajmal",76.92,13,47,560,4.641015384615385,8,3,43.07692307692308,8,7,0,2,3,IVN-4697-2023,15.38,0000-0002-5206-3842
"Wolgamot, Hugh",93.33,30,48,552,0.98303,20,4,18.4,14,20,1,0,2,CDM-6192-2022,0.0,0000-0002-4874-627X
"Chen, Xi",100.0,2,49,540,11.836300000000001,2,2,270.0,2,0,0,2,0,DUJ-5216-2022,100.0,0000-0003-4606-9364
"Leong, Yee-Kwong",100.0,18,50,524,1.673138888888889,14,0,29.11111111111111,10,16,0,0,3,J-5890-2013,0.0,0000-0002-5616-1618
"Xiao, Gongkui",100.0,12,51,523,1.9668416666666666,12,3,43.583333333333336,9,6,1,1,0,EFK-6998-2022,8.33,
"Dyskin, Arcady",87.18,39,52,505,0.5871205128205128,34,4,12.948717948717949,13,6,0,0,0,AAO-1553-2020,0.0,0000-0001-5524-2566
"Ahmed, Razin",100.0,2,53,490,6.2194,2,0,245.0,2,2,0,1,0,GRN-8537-2022,50.0,
"Srinivasan, Kandadai",88.89,18,54,488,1.0455666666666668,13,0,27.11111111111111,11,13,0,0,2,DTD-5488-2022,0.0,0000-0002-2762-5348
"Wallace, Vincent P",100.0,13,55,486,1.1908307692307694,6,3,37.38461538461539,8,10,1,1,1,A-9320-2012,7.69,0000-0003-3814-5400
"Rajabi Asadabadi, Mehdi",100.0,8,56,476,3.4727125,7,1,59.5,7,3,0,1,0,IVV-6252-2023,12.5,
"Atkin, Rob",100.0,9,57,474,2.3329333333333335,9,1,52.666666666666664,8,3,1,0,0,E-8471-2010,0.0,0000-0001-8781-7854
"Sadaghiani, Mirhadi S.",100.0,10,58,459,2.05761,8,3,45.9,8,6,3,0,1,DYS-3780-2022,0.0,0000-0001-5748-4171
